26976,30168,20796,19844,6478,1526,8466,15786,35191,38351,45355,44435,63833,58849,49413,56765,43243,46163,37047,35855,55493,50301,57497,64545,18684,21572,28832,27672,14546,9322,142,7222,60069,63005,54009,52801,39563,34355,41687,48751,2738,5642,13038,11862,31388,26148,17088,24184,11054,14230,4978,4042,23296,18360,25436,32740,52025,55169,62309,61405,47895,42927,33611,40947,28290,29242,22238,19046,7852,532,9968,14920,36501,37421,46793,43633,65211,57859,50919,55903,44809,46001,38741,35821,57127,50079,59259,64451,20254,21414,30530,27642,16176,9096,1900,7124,60743,61951,54555,51619,40297,33233,42293,47501,3408,4584,13580,10676,32126,25030,17698,22938,11468,12404,5264,2088,23778,16474,25790,30726,52443,53347,62599,59455,48373,41037,33961,38929,26385,31657,24397,17397,5951,2951,12131,13275,34566,39870,48986,41954,63272,60304,53108,54220,42650,47650,40646,33406,54964,51724,61160,62032,18061,23093,32465,25193,13987,10779,3839,4679,58580,63596,56456,49200,38138,34882,44198,45086,1219,6267,15519,8231,29933,26709,19633,20489,9567,14823,7427,443,21873,18889,27949,29077,50504,55792,64788,57772,46438,43486,36154,37250,24819,31819,22703,17431,4317,3173,10369,13369,32996,40028,47288,41984,61642,60530,51350,54318,41336,48576,39204,34204,53590,52718,59658,62898,16751,24023,31027,25995,12609,11769,2333,5541,58166,65422,56170,51154,37656,36768,43844,47100,801,8089,15229,10181,29455,28599,19283,22507,8893,15877,6881,1625,21139,20011,27343,30327,49834,56850,64246,58958,45700,44604,35544,38496,

20002,21146,30334,27334,15884,8884,1616,6888,44597,45709,38505,35537,56859,49827,58951,64255,36777,37649,47093,43853,65415,58175,51163,56163,28606,29446,22498,19290,8080,808,10188,15220,52711,53599,62907,59651,48585,41329,34197,39213,11760,12616,5548,2324,24030,16742,25986,31034,3180,4308,13360,10376,31810,24826,17438,22694,60539,61635,54311,51359,40021,33005,41993,47281,18880,21880,29084,27940,14830,9558,434,7434,43479,46447,37259,36147,55801,50497,57765,64797,34891,38131,45079,44207,63589,58589,49209,56449,26716,29924,20480,19640,6258,1226,8238,15510,51717,54973,62041,61153,47659,42643,33399,40655,10770,13994,4686,3830,23100,18052,25184,32472,2958,5942,13266,12138,31648,26392,17404,24388,60313,63265,54213,53117,39863,34575,41963,48979,16467,23787,30735,25783,12413,11461,2081,5273,41028,48380,38936,33952,53354,52434,59446,62606,33240,40288,47492,42300,61942,60750,51626,54546,25039,32119,22931,17707,4577,3417,10685,13573,50070,57134,64458,59250,46008,44800,35812,38748,9089,16185,7133,1893,21423,20247,27635,30539,541,7845,14913,9977,29235,28299,19055,22231,57866,65202,55894,50926,37412,36508,43640,46784,18353,23305,32749,25429,14239,11047,4035,4987,42918,47902,40954,33602,55176,52016,61396,62316,34362,39554,48742,41694,62996,60076,52808,54000,26157,31381,24177,17097,5635,2747,11871,13031,50292,55500,64552,57488,46170,43234,35846,37054,9315,14555,7231,135,21581,18677,27665,28841,1535,6471,15779,8475,30161,26985,19853,20789,58856,63824,56756,49420,38342,35198,44442,45346,

21409,20249,27645,30533,9103,16183,7123,1899,46006,44814,35818,38738,50072,57120,64452,59260,37418,36498,43638,46798,57860,65212,55896,50912,29245,28293,19041,22233,531,7851,14927,9975,53348,52444,59448,62592,41034,48370,38934,33966,12403,11467,2095,5271,16477,23781,30721,25785,4591,3415,10675,13579,25025,32121,22941,17701,61944,60736,51620,54556,33238,40302,47498,42290,21571,18683,27679,28839,9325,14549,7217,137,46164,43244,35848,37040,50298,55490,64550,57502,38344,35184,44436,45356,58854,63838,56762,49410,30175,26983,19843,20795,1521,6473,15789,8469,55174,52030,61402,62306,42920,47888,40948,33612,14225,11049,4045,4981,18367,23303,32739,25435,5645,2741,11857,13033,26147,31387,24191,17095,63002,60066,52806,54014,34356,39564,48744,41680,24016,16744,25996,31028,11774,12614,5538,2330,48583,41343,34203,39203,52713,53585,62901,59661,40027,32995,41991,47295,60533,61645,54313,51345,31820,24820,17424,22696,3170,4314,13374,10374,56853,49837,58953,64241,44603,45699,38503,35551,15874,8890,1630,6886,20012,21140,30320,27336,8094,806,10178,15226,28592,29448,22508,19284,65417,58161,51157,56173,36775,37663,47099,43843,23090,18058,25198,32470,10780,13988,4672,3832,47653,42653,33401,40641,51723,54963,62039,61167,39865,34561,41957,48989,60311,63279,54219,53107,31662,26390,17394,24394,2944,5944,13276,12132,55799,50511,57771,64787,43481,46433,37253,36157,14816,9560,444,7428,18894,21878,29074,27946,6268,1220,8224,15512,26706,29930,20494,19638,63595,58579,49207,56463,34885,38141,45081,44193,

59507,62667,53295,52375,39005,34021,40961,48313,2148,5340,12344,11392,30794,25842,16406,23726,10744,13632,4516,3356,22998,17774,24970,32050,51695,54615,61875,60683,47553,42361,33181,40229,27574,30478,21482,20306,7064,1824,9156,16252,35745,38681,46077,44869,64399,59191,50131,57195,43581,46725,37473,36569,55827,50859,57935,65271,18986,22162,29302,28366,14852,9916,600,7904,61329,62249,55245,52085,40895,33543,42979,47963,3974,4926,14298,11106,32680,25360,18420,23372,11802,12962,5702,2814,24116,17036,26216,31440,52749,53941,63057,60137,48675,41627,34431,39623,27732,28908,21512,18608,7290,194,9254,14494,35907,37115,46111,43175,64621,57557,50225,55433,44511,45415,38275,35131,56817,49481,58797,63765,19912,20848,30100,26924,15846,8542,1466,6402,58882,64186,56926,49894,38444,35476,44656,45768,1557,6829,15945,8945,30267,27267,20071,21215,10121,15153,8149,877,22439,19231,28667,29507,51102,56102,65474,58234,47024,43784,36844,37716,26055,31103,23963,16675,5609,2385,11701,12557,34256,39272,48524,41268,62974,59718,52642,53530,42060,47348,39952,32936,54370,51418,60478,61574,17499,22755,31751,24767,13429,10445,3113,4241,57824,64856,55740,50436,37326,36214,43410,46378,503,7503,14763,9491,29145,28001,18821,21821,8299,15571,6199,1167,20549,19709,26649,29857,49276,56516,63520,58520,45138,44266,34830,38070,25125,32413,23161,18113,4619,3763,10839,14063,33330,40586,47726,42710,61980,61092,51776,55032,41902,48918,39922,34634,54144,53048,60380,63332,17337,24321,31717,26461,13207,12079,3019,6003,

62960,59720,52652,53524,34270,39270,48514,41274,5607,2399,11707,12547,26057,31089,23957,16685,13435,10435,3111,4255,17493,22765,31753,24753,54380,51412,60464,61576,42050,47354,39966,32934,30261,27277,20073,21201,1563,6819,15943,8959,38434,35482,44670,45766,58892,64180,56912,49896,47038,43782,36834,37722,51088,56104,65484,58228,22441,19217,28661,29517,10119,15167,8155,867,61970,61098,51790,55030,33340,40580,47712,42712,4613,3773,10841,14049,25131,32403,23159,18127,13209,12065,3013,6013,17335,24335,31723,26451,54158,53046,60370,63338,41888,48920,39932,34628,29143,28015,18827,21811,505,7489,14757,9501,37312,36216,43420,46372,57838,64854,55730,50442,45148,44260,34816,38072,49266,56522,63534,58518,20555,19699,26647,29871,8293,15581,6201,1153,64385,59193,50141,57189,35759,38679,46067,44875,7062,1838,9162,16242,27576,30464,21476,20316,14858,9906,598,7918,18980,22172,29304,28352,55837,50853,57921,65273,43571,46731,37487,36567,30788,25852,16408,23712,2154,5330,12342,11406,38995,34027,40975,48311,59517,62661,53281,52377,47567,42359,33171,40235,51681,54617,61885,60677,23000,17760,24964,32060,10742,13646,4522,3346,64611,57563,50239,55431,35917,37109,46097,43177,7284,204,9256,14480,27738,28898,21510,18622,15848,8528,1460,6412,19910,20862,30106,26914,56831,49479,58787,63771,44497,45417,38285,35125,32678,25374,18426,23362,3976,4912,14292,11116,40881,33545,42989,47957,61343,62247,55235,52091,48685,41621,34417,39625,52739,53947,63071,60135,24122,17026,26214,31454,11796,12972,5704,2800,

